Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
All Students,All Students,"2,012",5 year August,"74,099",57683,77.8,53167,71.8,92.2,13829,18.7,24.0,39338,53.1,68.2,4516,6.1,7.8,5764,7.8,8756,11.8,1118,1.5,616,0.8
All Students,All Students,"2,011",5 year August,"74,315",56542,76.1,52530,70.7,92.9,13658,18.4,24.2,38872,52.3,68.7,4012,5.4,7.1,5874,7.9,9834,13.2,1287,1.7,593,0.8
All Students,All Students,"2,010",5 year August,"75,242",56132,74.6,52054,69.2,92.7,13470,17.9,24.0,38584,51.3,68.7,4078,5.4,7.3,6602,8.8,10495,13.9,1216,1.6,614,0.8
All Students,All Students,"2,009",5 year August,"78,315",56781,72.5,53204,67.9,93.7,13588,17.4,23.9,39616,50.6,69.8,3577,4.6,6.3,7540,9.6,11731,15.0,1228,1.6,815,1.0
All Students,All Students,"2,008",5 year August,"79,362",56007,70.6,52678,66.4,94.1,13321,16.8,23.8,39357,49.6,70.3,3329,4.2,5.9,7700,9.7,12572,15.8,2008,2.5,881,1.1
All Students,All Students,"2,007",5 year August,"78,922",56153,71.1,46104,58.4,82.1,13025,16.5,23.2,33079,41.9,58.9,10049,12.7,17.9,4962,6.3,14467,18.3,1949,2.5,1282,1.6
All Students,All Students,"2,006",5 year August,"79,156",55708,70.4,42189,53.3,75.7,13075,16.5,23.5,29114,36.8,52.3,13519,17.1,24.3,5650,7.1,13877,17.5,2228,2.8,1611,2.0
All Students,All Students,"2,013",5 year June,"72,882",56963,78.2,52029,71.4,91.3,14651,20.1,25.7,37378,51.3,65.6,4934,6.8,8.7,5701,7.8,8296,11.4,1174,1.6,725,1.0
All Students,All Students,"2,012",5 year June,"74,099",57211,77.2,52851,71.3,92.4,13829,18.7,24.2,39022,52.7,68.2,4360,5.9,7.6,6219,8.4,8771,11.8,1118,1.5,616,0.8
All Students,All Students,"2,011",5 year June,"74,315",55963,75.3,52117,70.1,93.1,13657,18.4,24.4,38460,51.8,68.7,3846,5.2,6.9,6433,8.7,9847,13.3,1290,1.7,593,0.8
All Students,All Students,"2,010",5 year June,"75,242",55494,73.8,51552,68.5,92.9,13467,17.9,24.3,38085,50.6,68.6,3942,5.2,7.1,7202,9.6,10528,14.0,1221,1.6,614,0.8
All Students,All Students,"2,009",5 year June,"78,315",55882,71.4,52471,67.0,93.9,13584,17.3,24.3,38887,49.7,69.6,3411,4.4,6.1,8393,10.7,11766,15.0,1238,1.6,815,1.0
All Students,All Students,"2,008",5 year June,"79,362",55132,69.5,51954,65.5,94.2,13313,16.8,24.1,38641,48.7,70.1,3178,4.0,5.8,8487,10.7,12639,15.9,2024,2.6,881,1.1
All Students,All Students,"2,007",5 year June,"78,922",55404,70.2,45770,58.0,82.6,13023,16.5,23.5,32747,41.5,59.1,9634,12.2,17.4,5507,7.0,14658,18.6,1962,2.5,1282,1.6
All Students,All Students,"2,006",5 year June,"79,156",54936,69.4,41918,53.0,76.3,13075,16.5,23.8,28843,36.4,52.5,13018,16.4,23.7,6228,7.9,14103,17.8,2228,2.8,1579,2.0
All Students,All Students,"2,005",5 year June,"78,147",52988,67.8,37611,48.1,71.0,12774,16.3,24.1,24837,31.8,46.9,15377,19.7,29.0,6666,8.5,14259,18.2,2122,2.7,2040,2.6
All Students,All Students,"2,004",5 year June,"75,625",49959,66.1,33539,44.3,67.1,12841,17.0,25.7,20698,27.4,41.4,16420,21.7,32.9,7365,9.7,13786,18.2,2104,2.8,2401,3.2
All Students,All Students,"2,003",5 year June,"73,888",46265,62.6,29887,40.4,64.6,11594,15.7,25.1,18293,24.8,39.5,16378,22.2,35.4,8520,11.5,16095,21.8,2129,2.9,781,1.1
All Students,All Students,"2,002",5 year June,"74,511",43835,58.8,27478,36.9,62.7,9745,13.1,22.2,17733,23.8,40.5,16625,22.3,37.9,8927,12.0,18434,24.7,1814,2.4,1120,1.5
All Students,All Students,"2,001",5 year June,"74,143",41317,55.7,23925,32.3,57.9,9449,12.7,22.9,14476,19.5,35.0,17465,23.6,42.3,8335,11.2,21382,28.8,2739,3.7,294,0.4
All Students,All Students,"2,012",6 year June,"73,874",58803,79.6,53866,72.9,91.6,13830,18.7,23.5,40036,54.2,68.1,4937,6.7,8.4,3469,4.7,9587,13.0,1233,1.7,653,0.9
All Students,All Students,"2,011",6 year June,"74,329",57777,77.7,53396,71.8,92.4,13661,18.4,23.6,39735,53.5,68.8,4381,5.9,7.6,3779,5.1,10594,14.3,1398,1.9,638,0.9
All Students,All Students,"2,010",6 year June,"75,254",57633,76.6,53141,70.6,92.2,13473,17.9,23.4,39668,52.7,68.8,4492,6.0,7.8,4022,5.3,11446,15.2,1309,1.7,617,0.8
All Students,All Students,"2,009",6 year June,"78,287",58505,74.7,54516,69.6,93.2,13592,17.4,23.2,40924,52.3,69.9,3989,5.1,6.8,4541,5.8,12818,16.4,1332,1.7,850,1.1
All Students,All Students,"2,008",6 year June,"79,233",57575,72.7,53861,68.0,93.5,13324,16.8,23.1,40537,51.2,70.4,3714,4.7,6.5,4351,5.5,13545,17.1,2699,3.4,869,1.1
All Students,All Students,"2,007",6 year June,"78,998",57651,73.0,46967,59.5,81.5,13109,16.6,22.7,33858,42.9,58.7,10684,13.5,18.5,2787,3.5,15040,19.0,2148,2.7,1228,1.6
All Students,All Students,"2,006",6 year June,"78,046",57121,73.2,42689,54.7,74.7,13064,16.7,22.9,29625,38.0,51.9,14432,18.5,25.3,2484,3.2,14618,18.7,2174,2.8,1541,2.0
All Students,All Students,"2,005",6 year June,"77,994",55277,70.9,38312,49.1,69.3,12783,16.4,23.1,25529,32.7,46.2,16965,21.8,30.7,3425,4.4,15090,19.3,2252,2.9,1859,2.4
All Students,All Students,"2,004",6 year June,"75,661",52379,69.2,34231,45.2,65.4,12850,17.0,24.5,21381,28.3,40.8,18148,24.0,34.6,4468,5.9,15306,20.2,2156,2.8,1253,1.7
All Students,All Students,"2,003",6 year June,"74,027",48586,65.6,30483,41.2,62.7,11607,15.7,23.9,18876,25.5,38.9,18103,24.5,37.3,4120,5.6,17517,23.7,2256,3.0,1450,2.0
All Students,All Students,"2,002",6 year June,"74,511",46067,61.8,27937,37.5,60.6,9768,13.1,21.2,18169,24.4,39.4,18398,24.7,39.9,4729,6.3,20140,27.0,2042,2.7,1152,1.5
All Students,All Students,"2,001",6 year June,"74,143",43351,58.5,24338,32.8,56.1,9473,12.8,21.9,14865,20.0,34.3,19180,25.9,44.2,3896,5.3,23538,31.7,2988,4.0,294,0.4
ELL Status,Current ELL,"2,014",4 year August,"6,771",2352,34.7,1564,23.1,66.5,84,1.2,3.6,1480,21.9,62.9,788,11.6,33.5,2403,35.5,1804,26.6,105,1.6,107,1.6
ELL Status,Current ELL,"2,013",4 year August,"6,372",2072,32.5,1506,23.6,72.7,89,1.4,4.3,1417,22.2,68.4,566,8.9,27.3,2336,36.7,1733,27.2,123,1.9,85,1.3
ELL Status,Current ELL,"2,012",4 year August,"6,159",1921,31.2,1512,24.5,78.7,90,1.5,4.7,1422,23.1,74.0,409,6.6,21.3,2335,37.9,1666,27.0,137,2.2,72,1.2
ELL Status,Current ELL,"2,011",4 year August,"7,323",2967,40.5,2617,35.7,88.2,373,5.1,12.6,2244,30.6,75.6,350,4.8,11.8,2490,34.0,1577,21.5,190,2.6,82,1.1
ELL Status,Current ELL,"2,014",4 year June,"6,771",1968,29.1,1353,20.0,68.8,80,1.2,4.1,1273,18.8,64.7,615,9.1,31.3,2785,41.1,1804,26.6,107,1.6,107,1.6
ELL Status,Current ELL,"2,013",4 year June,"6,372",1754,27.5,1289,20.2,73.5,81,1.3,4.6,1208,19.0,68.9,465,7.3,26.5,2654,41.7,1733,27.2,123,1.9,85,1.3
ELL Status,Current ELL,"2,012",4 year June,"6,159",1678,27.2,1354,22.0,80.7,88,1.4,5.2,1266,20.6,75.4,324,5.3,19.3,2575,41.8,1666,27.0,140,2.3,72,1.2
ELL Status,Current ELL,"2,011",4 year June,"7,323",2670,36.5,2393,32.7,89.6,367,5.0,13.7,2026,27.7,75.9,277,3.8,10.4,2784,38.0,1579,21.6,191,2.6,82,1.1
ELL Status,Current ELL,"2,013",5 year August,"5,964",2337,39.2,1600,26.8,68.5,89,1.5,3.8,1511,25.3,64.7,737,12.4,31.5,963,16.1,2264,38.0,304,5.1,90,1.5
ELL Status,Current ELL,"2,012",5 year August,"5,894",2245,38.1,1699,28.8,75.7,94,1.6,4.2,1605,27.2,71.5,546,9.3,24.3,996,16.9,2176,36.9,368,6.2,86,1.5
ELL Status,Current ELL,"2,013",5 year June,"5,964",2266,38.0,1571,26.3,69.3,89,1.5,3.9,1482,24.8,65.4,695,11.7,30.7,1028,17.2,2268,38.0,306,5.1,90,1.5
ELL Status,Current ELL,"2,012",5 year June,"5,894",2181,37.0,1658,28.1,76.0,94,1.6,4.3,1564,26.5,71.7,523,8.9,24.0,1055,17.9,2180,37.0,368,6.2,86,1.5
ELL Status,Current ELL,"2,012",6 year June,"5,758",2336,40.6,1722,29.9,73.7,95,1.6,4.1,1627,28.3,69.6,614,10.7,26.3,567,9.8,2374,41.2,395,6.9,72,1.3
ELL Status,Current ELL,"2,011",6 year June,"6,793",3406,50.1,2880,42.4,84.6,370,5.4,10.9,2510,36.9,73.7,526,7.7,15.4,601,8.8,2303,33.9,385,5.7,80,1.2
ELL Status,ELL,"2,014",4 year August,"6,771",2352,34.7,1564,23.1,66.5,84,1.2,3.6,1480,21.9,62.9,788,11.6,33.5,2403,35.5,1804,26.6,105,1.6,107,1.6
ELL Status,ELL,"2,013",4 year August,"6,372",2072,32.5,1506,23.6,72.7,89,1.4,4.3,1417,22.2,68.4,566,8.9,27.3,2336,36.7,1733,27.2,123,1.9,85,1.3
ELL Status,ELL,"2,012",4 year August,"6,159",1921,31.2,1512,24.5,78.7,90,1.5,4.7,1422,23.1,74.0,409,6.6,21.3,2335,37.9,1666,27.0,137,2.2,72,1.2
ELL Status,ELL,"2,011",4 year August,"7,323",2967,40.5,2617,35.7,88.2,373,5.1,12.6,2244,30.6,75.6,350,4.8,11.8,2490,34.0,1577,21.5,190,2.6,82,1.1
ELL Status,ELL,"2,010",4 year August,"8,289",3090,37.3,2791,33.7,90.3,431,5.2,13.9,2360,28.5,76.4,299,3.6,9.7,3062,36.9,1851,22.3,184,2.2,84,1.0
ELL Status,ELL,"2,009",4 year August,"9,250",3579,38.7,3218,34.8,89.9,631,6.8,17.6,2587,28.0,72.3,361,3.9,10.1,3392,36.7,1986,21.5,211,2.3,67,0.7
ELL Status,ELL,"2,008",4 year August,"9,173",3716,40.5,3318,36.2,89.3,624,6.8,16.8,2694,29.4,72.5,398,4.3,10.7,3256,35.5,1861,20.3,229,2.5,101,1.1
ELL Status,ELL,"2,007",4 year August,"9,443",4262,45.1,3012,31.9,70.7,575,6.1,13.5,2437,25.8,57.2,1250,13.2,29.3,2881,30.5,1883,19.9,256,2.7,149,1.6
ELL Status,ELL,"2,006",4 year August,"9,056",4175,46.1,2573,28.4,61.6,608,6.7,14.6,1965,21.7,47.1,1602,17.7,38.4,2588,28.6,1791,19.8,305,3.4,189,2.1
ELL Status,ELL,"2,005",4 year August,"8,777",3899,44.4,2015,23.0,51.7,594,6.8,15.2,1421,16.2,36.4,1883,21.5,48.3,2641,30.1,1700,19.4,298,3.4,239,2.7
ELL Status,ELL,"2,004",4 year August,"8,486",3404,40.1,1599,18.8,47.0,No Data,No Data,No Data,No Data,No Data,No Data,1809,21.3,53.1,2923,34.4,1840,21.7,No Data,No Data,No Data,No Data
ELL Status,ELL,"2,014",4 year June,"6,771",1968,29.1,1353,20.0,68.8,80,1.2,4.1,1273,18.8,64.7,615,9.1,31.3,2785,41.1,1804,26.6,107,1.6,107,1.6
ELL Status,ELL,"2,013",4 year June,"6,372",1754,27.5,1289,20.2,73.5,81,1.3,4.6,1208,19.0,68.9,465,7.3,26.5,2654,41.7,1733,27.2,123,1.9,85,1.3
ELL Status,ELL,"2,012",4 year June,"6,159",1678,27.2,1354,22.0,80.7,88,1.4,5.2,1266,20.6,75.4,324,5.3,19.3,2575,41.8,1666,27.0,140,2.3,72,1.2
ELL Status,ELL,"2,011",4 year June,"7,323",2670,36.5,2393,32.7,89.6,367,5.0,13.7,2026,27.7,75.9,277,3.8,10.4,2784,38.0,1579,21.6,191,2.6,82,1.1
ELL Status,ELL,"2,010",4 year June,"8,289",2691,32.5,2448,29.5,91.0,412,5.0,15.3,2036,24.6,75.7,243,2.9,9.0,3460,41.7,1852,22.3,184,2.2,84,1.0
ELL Status,ELL,"2,009",4 year June,"9,250",2986,32.3,2696,29.1,90.3,600,6.5,20.1,2096,22.7,70.2,290,3.1,9.7,3973,43.0,1987,21.5,222,2.4,67,0.7
ELL Status,ELL,"2,008",4 year June,"9,173",3247,35.4,2933,32.0,90.3,615,6.7,18.9,2318,25.3,71.4,314,3.4,9.7,3714,40.5,1868,20.4,233,2.5,101,1.1
ELL Status,ELL,"2,007",4 year June,"9,443",3719,39.4,2764,29.3,74.3,562,6.0,15.1,2202,23.3,59.2,955,10.1,25.7,3407,36.1,1896,20.1,266,2.8,142,1.5
ELL Status,ELL,"2,006",4 year June,"9,056",3755,41.5,2437,26.9,64.9,593,6.5,15.8,1844,20.4,49.1,1318,14.6,35.1,3002,33.1,1797,19.8,305,3.4,189,2.1
ELL Status,ELL,"2,005",4 year June,"8,777",3481,39.7,1908,21.7,54.8,583,6.6,16.7,1325,15.1,38.1,1572,17.9,45.2,3059,34.9,1700,19.4,298,3.4,239,2.7
ELL Status,ELL,"2,004",4 year June,"8,486",3039,35.8,1504,17.7,49.5,487,5.7,16.0,1017,12.0,33.5,1535,18.1,50.5,3288,38.7,1840,21.7,282,3.3,37,0.4
ELL Status,ELL,"2,003",4 year June,"8,163",2052,25.1,909,11.1,44.3,290,3.6,14.1,619,7.6,30.2,1143,14.0,55.7,3360,41.2,2394,29.3,284,3.5,73,0.9
ELL Status,ELL,"2,002",4 year June,"7,454",1691,22.7,639,8.6,37.8,132,1.8,7.8,507,6.8,30.0,1062,14.2,62.8,3062,41.1,2330,31.3,265,3.6,78,1.0
ELL Status,ELL,"2,001",4 year June,"10,540",2791,26.5,992,9.4,35.5,315,3.0,11.3,677,6.4,24.3,1803,17.1,64.6,3895,37.0,3220,30.6,576,5.5,56,0.5
ELL Status,ELL,"2,013",5 year August,"5,964",2337,39.2,1600,26.8,68.5,89,1.5,3.8,1511,25.3,64.7,737,12.4,31.5,963,16.1,2264,38.0,304,5.1,90,1.5
ELL Status,ELL,"2,012",5 year August,"5,894",2245,38.1,1699,28.8,75.7,94,1.6,4.2,1605,27.2,71.5,546,9.3,24.3,996,16.9,2176,36.9,368,6.2,86,1.5
ELL Status,ELL,"2,011",5 year August,"6,867",3311,48.2,2831,41.2,85.5,370,5.4,11.2,2461,35.8,74.3,480,7.0,14.5,957,13.9,2141,31.2,358,5.2,83,1.2
ELL Status,ELL,"2,010",5 year August,"7,975",3692,46.3,3258,40.9,88.2,444,5.6,12.0,2814,35.3,76.2,434,5.4,11.8,1264,15.8,2594,32.5,307,3.8,94,1.2
ELL Status,ELL,"2,009",5 year August,"8,901",4266,47.9,3774,42.4,88.5,628,7.1,14.7,3146,35.3,73.7,492,5.5,11.5,1509,17.0,2724,30.6,293,3.3,86,1.0
ELL Status,ELL,"2,008",5 year August,"8,912",4296,48.2,3776,42.4,87.9,638,7.2,14.9,3138,35.2,73.0,520,5.8,12.1,1567,17.6,2512,28.2,433,4.9,88,1.0
ELL Status,ELL,"2,007",5 year August,"9,155",4976,54.4,3301,36.1,66.3,592,6.5,11.9,2709,29.6,54.4,1675,18.3,33.7,755,8.2,2825,30.9,458,5.0,133,1.5
ELL Status,ELL,"2,006",5 year August,"9,156",4877,53.3,2811,30.7,57.6,633,6.9,13.0,2178,23.8,44.7,2066,22.6,42.4,1005,11.0,2558,27.9,537,5.9,167,1.8
ELL Status,ELL,"2,013",5 year June,"5,964",2266,38.0,1571,26.3,69.3,89,1.5,3.9,1482,24.8,65.4,695,11.7,30.7,1028,17.2,2268,38.0,306,5.1,90,1.5
ELL Status,ELL,"2,012",5 year June,"5,894",2181,37.0,1658,28.1,76.0,94,1.6,4.3,1564,26.5,71.7,523,8.9,24.0,1055,17.9,2180,37.0,368,6.2,86,1.5
ELL Status,ELL,"2,011",5 year June,"6,867",3232,47.1,2776,40.4,85.9,370,5.4,11.4,2406,35.0,74.4,456,6.6,14.1,1036,15.1,2141,31.2,358,5.2,83,1.2
ELL Status,ELL,"2,010",5 year June,"7,975",3592,45.0,3174,39.8,88.4,443,5.6,12.3,2731,34.2,76.0,418,5.2,11.6,1354,17.0,2603,32.6,308,3.9,94,1.2
ELL Status,ELL,"2,009",5 year June,"8,901",4104,46.1,3641,40.9,88.7,628,7.1,15.3,3013,33.9,73.4,463,5.2,11.3,1663,18.7,2728,30.6,297,3.3,86,1.0
ELL Status,ELL,"2,008",5 year June,"8,912",4150,46.6,3654,41.0,88.0,635,7.1,15.3,3019,33.9,72.7,496,5.6,12.0,1700,19.1,2522,28.3,436,4.9,88,1.0
ELL Status,ELL,"2,007",5 year June,"9,155",4823,52.7,3240,35.4,67.2,591,6.5,12.3,2649,28.9,54.9,1583,17.3,32.8,873,9.5,2856,31.2,462,5.0,133,1.5
ELL Status,ELL,"2,006",5 year June,"9,156",4774,52.1,2782,30.4,58.3,633,6.9,13.3,2149,23.5,45.0,1992,21.8,41.7,1095,12.0,2574,28.1,537,5.9,165,1.8
ELL Status,ELL,"2,005",5 year June,"8,743",4546,52.0,2232,25.5,49.1,642,7.3,14.1,1590,18.2,35.0,2314,26.5,50.9,1016,11.6,2531,28.9,449,5.1,192,2.2
ELL Status,ELL,"2,004",5 year June,"8,320",4065,48.9,1799,21.6,44.3,558,6.7,13.7,1241,14.9,30.5,2266,27.2,55.7,1151,13.8,2389,28.7,440,5.3,274,3.3
ELL Status,ELL,"2,003",5 year June,"8,163",3105,38.0,1159,14.2,37.3,358,4.4,11.5,801,9.8,25.8,1946,23.8,62.7,1327,16.3,3111,38.1,537,6.6,83,1.0
ELL Status,ELL,"2,002",5 year June,"7,454",2354,31.6,794,10.7,33.7,176,2.4,7.5,618,8.3,26.3,1578,21.2,67.0,1457,19.5,3041,40.8,494,6.6,80,1.1
ELL Status,ELL,"2,001",5 year June,"10,540",3920,37.2,1233,11.7,31.5,371,3.5,9.5,862,8.2,22.0,2701,25.6,68.9,1516,14.4,4193,39.8,845,8.0,56,0.5
ELL Status,ELL,"2,012",6 year June,"5,758",2336,40.6,1722,29.9,73.7,95,1.6,4.1,1627,28.3,69.6,614,10.7,26.3,567,9.8,2374,41.2,395,6.9,72,1.3
ELL Status,ELL,"2,011",6 year June,"6,793",3406,50.1,2880,42.4,84.6,370,5.4,10.9,2510,36.9,73.7,526,7.7,15.4,601,8.8,2303,33.9,385,5.7,80,1.2
ELL Status,ELL,"2,010",6 year June,"7,827",3854,49.2,3360,42.9,87.2,450,5.7,11.7,2910,37.2,75.5,494,6.3,12.8,738,9.4,2786,35.6,327,4.2,93,1.2
ELL Status,ELL,"2,009",6 year June,"8,821",4496,51.0,3955,44.8,88.0,630,7.1,14.0,3325,37.7,74.0,541,6.1,12.0,935,10.6,2966,33.6,309,3.5,93,1.1
ELL Status,ELL,"2,008",6 year June,"8,930",4499,50.4,3918,43.9,87.1,639,7.2,14.2,3279,36.7,72.9,581,6.5,12.9,931,10.4,2754,30.8,635,7.1,94,1.1
ELL Status,ELL,"2,007",6 year June,"9,133",5123,56.1,3385,37.1,66.1,593,6.5,11.6,2792,30.6,54.5,1738,19.0,33.9,416,4.6,2958,32.4,499,5.5,125,1.4
ELL Status,ELL,"2,006",6 year June,"8,824",5068,57.4,2866,32.5,56.6,633,7.2,12.5,2233,25.3,44.1,2202,25.0,43.4,341,3.9,2737,31.0,514,5.8,143,1.6
ELL Status,ELL,"2,005",6 year June,"8,670",4851,56.0,2303,26.6,47.5,647,7.5,13.3,1656,19.1,34.1,2548,29.4,52.5,454,5.2,2709,31.2,477,5.5,166,1.9
ELL Status,ELL,"2,004",6 year June,"8,306",4394,52.9,1873,22.5,42.6,568,6.8,12.9,1305,15.7,29.7,2521,30.4,57.4,619,7.5,2710,32.6,456,5.5,116,1.4
ELL Status,ELL,"2,003",6 year June,"8,041",3394,42.2,1216,15.1,35.8,363,4.5,10.7,853,10.6,25.1,2178,27.1,64.2,570,7.1,3361,41.8,556,6.9,160,2.0
ELL Status,ELL,"2,002",6 year June,"7,454",2729,36.6,856,11.5,31.4,185,2.5,6.8,671,9.0,24.6,1891,25.4,69.3,697,9.4,3356,45.0,562,7.5,82,1.1
ELL Status,ELL,"2,001",6 year June,"10,540",4296,40.8,1291,12.2,30.1,380,3.6,8.8,911,8.6,21.2,3028,28.7,70.5,655,6.2,4598,43.6,925,8.8,56,0.5
ELL Status,Ever ELL,"2,014",4 year August,"14,994",12819,85.5,11972,79.8,93.4,3188,21.3,24.9,8784,58.6,68.5,847,5.6,6.6,1533,10.2,541,3.6,12,0.1,89,0.6
ELL Status,Ever ELL,"2,013",4 year August,"12,425",10361,83.4,9606,77.3,92.7,2440,19.6,23.5,7166,57.7,69.2,755,6.1,7.3,1496,12.0,485,3.9,20,0.2,56,0.5
ELL Status,Ever ELL,"2,012",4 year August,"14,179",11788,83.1,11114,78.4,94.3,2725,19.2,23.1,8389,59.2,71.2,674,4.8,5.7,1882,13.3,424,3.0,28,0.2,45,0.3
